content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
旬じゃない時期に生まれて誕生日ケーキの苺がいつも小さい,,,,"Sep 30, 2025 4:08 pm",https://x.com/kamedatakumi,亀田巧,CC BY-NC-ND 4.0
"犯さじの
一線軽く
踏み越えて
依る蜘蛛の糸
容易く堕ちる",,,,"Oct 1, 2025 4:40 pm",https://x.com/sizuru_ishi,石川静流,CC BY-NC-ND 4.0
児童館には西日の匂い満たされているヘルカイザー亮の指先,,,,"Sep 28, 2025 7:25 pm",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
君が息しやすい世界にしたいから私は泡となって消えるね,,,,"Oct 6, 2025 9:21 pm",https://x.com/4rn_L,よるん、,CC BY-NC-ND 4.0
冗談で貼ったシールが剥がれなくなってわたしは半額の人,初出：9/17 毎日文学『剥ぐ、剥がす』,,,"Oct 1, 2025 11:08 pm",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
いつでも眠れるようにして綴るのは珊瑚になったあなたへの唄,,,,"Oct 6, 2025 9:32 pm",https://x.com/fujinamino586,藤波こはる,CC BY-NC-ND 4.0
パソコンを閉じた瞬間立ちあがる母と呼ばれる別の顔あり,,,,"Oct 1, 2025 8:28 am",https://x.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
少しずつ乾き始める膚には一周まわって糸瓜ローション,,,,"Oct 6, 2025 2:47 am",https://x.com/mizunonemuri1,水の眠り,CC BY-NC-ND 4.0
せめてもの慰めなれば両の手が救いの手へとなればと祈る,,,,"Oct 6, 2025 12:35 pm",https://x.com/prune0s,瀧,CC BY-NC-ND 4.0
シーツからやわらかく立つ香りごと抱き締め合えば永遠だった,,,,"Oct 1, 2025 6:24 am",https://x.com/haku_reimi89013 ,白黎海,CC BY-NC-ND 4.0
ぼくたちは鏡あわせの吸血鬼たがいの首を噛めずにいるね,,,,"Oct 5, 2025 5:54 pm",https://x.com/peak_0623,ホワイトアスパラ,CC BY-NC-ND 4.0
頂点に海の虚像が見えたときゴールテープを切った気がした,,,,"Oct 4, 2025 10:10 pm",https://x.com/@Tamonokidesu,戸倉田面木,CC BY-NC-ND 4.0
太陽の塔が背中を向けている隙に見つけたコスモスと虹,,,,"Oct 5, 2025 1:52 am",https://x.com/umi_tsukitokage,ツキミサキ,CC BY-NC-ND 4.0
"重症だ　あなたと同じ服を着たマネキンにまでときめくなんて
",,,,"Sep 29, 2025 8:06 pm",https://x.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
水中に還れぬふたり　水かきがなくてよかった　深く　絡める,,,,"Oct 2, 2025 2:59 pm",https://x.com/tsu6gi_hoshi,星つむぎ,CC BY-NC-ND 4.0
知識ではくじらがでかいと知ってるがワゴンRも割と大きい,初出：9/4 短歌記念日『鯨』,,,"Oct 1, 2025 11:06 pm",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
身のうちに静かな氷室ひとつあり言えない言葉のすべてをしまう,,,,"Oct 3, 2025 7:00 am",https://x.com/nonaga0303,のなが,CC BY-NC-ND 4.0
君の見る月のかたちを僕も見る　口にはせずに駅まで歩く,,,,"Sep 30, 2025 5:34 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
海中のクラゲを月と見た人の孤悲は幸せだっただろうか,,,,"Oct 5, 2025 11:41 pm",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
花びらも雨も運命《さだめ》も受けとめるために差しだす手のやわらかい,,,,"Oct 6, 2025 11:25 pm",https://x.com/yoshinani_tanka,よしなに,CC BY-NC-ND 4.0
泣きながら帰ることになるなんて キャッチのティッシュに救われている,,,,"Oct 2, 2025 12:02 pm",https://x.com/yarukatanashi,ヤマメ,CC BY-NC-ND 4.0
